AAM4311	0.0164	0.0040	0.0153	0.0067	0.9576
AAM4221	0.0019	0.0020	0.0030	0.9911	0.0020
AAM4252	0.0072	0.0039	0.0050	0.0035	0.9804
AAM4282	0.0038	0.0030	0.0040	0.0040	0.9852
AAM4293	0.1169	0.0030	0.0281	0.0490	0.8030
AAM4263	0.0044	0.0030	0.0060	0.0050	0.9816
AAM4280	0.0070	0.0030	0.0050	0.0050	0.9800
AAM4203	0.0020	0.0020	0.0020	0.9920	0.0020
AAM4235	0.0020	0.0020	0.0030	0.9906	0.0024
AAM4330	0.0020	0.0020	0.9876	0.0064	0.0020
AAM4296	0.4775	0.0061	0.0776	0.2253	0.2136
AAM4307	0.9920	0.0019	0.0020	0.0020	0.0021
AAM4254	0.0089	0.0032	0.0073	0.0020	0.9786
AAM4314	0.0040	0.0051	0.9799	0.0050	0.0060
AAM4224	0.1391	0.0320	0.0989	0.4641	0.2660
AAM4277	0.0036	0.0073	0.0062	0.0139	0.9690
AAM4006	0.0040	0.9823	0.0057	0.0030	0.0050
AAM4281	0.0036	0.0030	0.0030	0.0040	0.9864
AAM4244	0.0048	0.0040	0.1588	0.0535	0.7789
AAM4211	0.0040	0.0030	0.0094	0.9796	0.0040
AAM4207	0.0020	0.0029	0.0057	0.9844	0.0050
AAM4306	0.9911	0.0020	0.0020	0.0020	0.0029
AAM4242	0.4474	0.0052	0.0070	0.1132	0.4273
AAM4215	0.0030	0.0020	0.0030	0.9870	0.0050
AAM4251	0.0079	0.0022	0.0030	0.0056	0.9813
AAM4204	0.0020	0.0020	0.0024	0.9916	0.0020
AAM4272	0.0082	0.0021	0.0020	0.0050	0.9827
AAM4315	0.0044	0.0061	0.7225	0.1598	0.1072
AAM4011	0.0030	0.9870	0.0030	0.0040	0.0030
AAM4258	0.0261	0.0020	0.0030	0.0028	0.9661
AAM4255	0.0145	0.0030	0.0062	0.0039	0.9724
AAM4310	0.0064	0.0108	0.0434	0.0030	0.9364
AAM4299	0.9921	0.0019	0.0020	0.0020	0.0020
AAM4284	0.0110	0.0153	0.4439	0.0030	0.5268
AAM4271	0.0033	0.0030	0.0043	0.0063	0.9831
AAM4014	0.0030	0.9830	0.0060	0.0050	0.0030
AAM4260	0.0060	0.0060	0.0058	0.0059	0.9763
AAM4298	0.9920	0.0020	0.0020	0.0020	0.0020
AAM4240	0.0040	0.0020	0.0036	0.9875	0.0029
AAM4236	0.0014	0.0020	0.0030	0.9916	0.0020
AAM4007	0.0040	0.9430	0.0222	0.0258	0.0050
AAM4270	0.0190	0.0040	0.0075	0.0057	0.9638
AAM4233	0.0020	0.0030	0.0032	0.9859	0.0059
AAM4227	0.0020	0.0020	0.0020	0.9902	0.0038
AAM4289	0.9918	0.0020	0.0020	0.0020	0.0022
AAM4212	0.0020	0.3273	0.0034	0.6623	0.0050
AAM4285	0.0113	0.9418	0.0376	0.0030	0.0063
AAM4321	0.0158	0.0070	0.9251	0.0041	0.0480
AAM4275	0.0074	0.0030	0.0030	0.0056	0.9810
AAM4320	0.0066	0.0034	0.9640	0.0031	0.0229
AAM4318	0.0030	0.0066	0.7249	0.2567	0.0088
AAM4292	0.0186	0.0034	0.0182	0.0028	0.9570
AAM4012	0.0093	0.9710	0.0051	0.0076	0.0070
AAM4202	0.0028	0.7431	0.0039	0.2458	0.0044
AAM4246	0.0096	0.0032	0.0051	0.0245	0.9576
AAM4217	0.0020	0.0020	0.0030	0.9845	0.0085
AAM4219	0.0050	0.0030	0.0105	0.9765	0.0050
AAM4300	0.9917	0.0020	0.0020	0.0020	0.0023
AAM4238	0.0042	0.0040	0.0040	0.9828	0.0050
AAM4323	0.0030	0.0020	0.9862	0.0058	0.0030
AAM4213	0.0023	0.0020	0.0030	0.9907	0.0020
AAM4290	0.9918	0.0020	0.0020	0.0020	0.0022
AAM4267	0.0030	0.0030	0.0047	0.0823	0.9070
AAM4294	0.1068	0.0030	0.0277	0.0418	0.8208
AAM4261	0.0109	0.0030	0.0048	0.0030	0.9783
AAM4013	0.0030	0.9860	0.0040	0.0040	0.0030
AAM4237	0.0020	0.0020	0.0028	0.9902	0.0030
AAM4232	0.0020	0.0028	0.0136	0.9766	0.0050
AAM4295	0.0238	0.0050	0.0062	0.0050	0.9600
AAM4206	0.0020	0.0020	0.0020	0.9912	0.0028
AAM4305	0.9900	0.0020	0.0020	0.0020	0.0040
AAM4265	0.0056	0.0030	0.0050	0.0098	0.9766
AAM4245	0.0111	0.0030	0.0424	0.1398	0.8037
AAM4015	0.0030	0.9850	0.0040	0.0050	0.0030
AAM4216	0.0039	0.8344	0.0020	0.1577	0.0020
AAM4328	0.0020	0.0030	0.9811	0.0090	0.0049
AAM4214	0.0020	0.0020	0.0030	0.9910	0.0020
AAM4231	0.0019	0.9496	0.0050	0.0395	0.0040
AAM4326	0.0030	0.0030	0.9717	0.0107	0.0116
AAM4274	0.0067	0.0030	0.0030	0.0050	0.9823
AAM4239	0.0030	0.0020	0.0026	0.9900	0.0024
AAM4273	0.0085	0.0020	0.0020	0.0050	0.9825
AAM4226	0.4506	0.0040	0.0057	0.4996	0.0400
AAM4278	0.0030	0.0029	0.0030	0.0020	0.9891
AAM4266	0.0030	0.0048	0.0112	0.0080	0.9730
AAM4264	0.0052	0.8610	0.0041	0.0030	0.1267
AAM4222	0.0051	0.0045	0.0082	0.9785	0.0037
AAM4229	0.0024	0.0040	0.0040	0.9808	0.0088
AAM4008	0.0063	0.9809	0.0050	0.0030	0.0048
AAM4327	0.0020	0.9500	0.0368	0.0030	0.0082
AAM4286	0.0030	0.0030	0.0042	0.0027	0.9871
AAM4256	0.1732	0.0062	0.1401	0.0176	0.6628
AAM4313	0.0093	0.0064	0.9305	0.0455	0.0083
AAM4004	0.0174	0.9638	0.0065	0.0044	0.0079
AAM4262	0.0066	0.0030	0.0034	0.0030	0.9840
AAM4010	0.0033	0.9859	0.0050	0.0028	0.0030
AAM4304	0.9813	0.0020	0.0030	0.0030	0.0107
AAM4243	0.0080	0.9603	0.0140	0.0020	0.0157
AAM4291	0.9864	0.0020	0.0020	0.0030	0.0066
AAM4248	0.0563	0.0030	0.0087	0.0090	0.9230
AAM4228	0.0020	0.0030	0.0060	0.9830	0.0060
AAM4250	0.0042	0.0039	0.2120	0.0112	0.7687
AAM4301	0.9921	0.0018	0.0020	0.0020	0.0021
AAM4269	0.0050	0.0030	0.0030	0.0030	0.9860
AAM4331	0.0117	0.0036	0.9685	0.0102	0.0060
AAM4316	0.0030	0.0044	0.0721	0.5310	0.3895
AAM4009	0.0030	0.9879	0.0030	0.0030	0.0031
AAM4329	0.0540	0.0027	0.9124	0.0035	0.0274
AAM4005	0.0040	0.9839	0.0061	0.0030	0.0030
AAM4241	0.0060	0.9745	0.0085	0.0040	0.0070
AAM4220	0.0020	0.0020	0.0040	0.9900	0.0020
AAM4312	0.0040	0.0043	0.0068	0.9751	0.0098
AAM4225	0.0033	0.9203	0.0050	0.0668	0.0046
AAM4210	0.0030	0.0020	0.0030	0.9873	0.0047
AAM4309	0.9915	0.0020	0.0020	0.0020	0.0025
AAM4205	0.0020	0.0020	0.0020	0.9920	0.0020
AAM4223	0.0040	0.0070	0.0264	0.9567	0.0059
AAM4268	0.0077	0.0030	0.0359	0.0101	0.9434
AAM4253	0.0020	0.0020	0.0217	0.2160	0.7583
AAM4279	0.0037	0.0035	0.0055	0.0030	0.9843
AAM4283	0.0060	0.0042	0.0090	0.0040	0.9768
AAM4002	0.0040	0.9874	0.0030	0.0026	0.0030
AAM4302	0.0063	0.9851	0.0034	0.0020	0.0032
AAM4209	0.0020	0.0020	0.0029	0.9894	0.0037
AAM4208	0.0020	0.0020	0.0030	0.9900	0.0030
AAM4247	0.0098	0.0020	0.0089	0.0030	0.9763
AAM4234	0.0275	0.0040	0.0070	0.9333	0.0282
AAM4276	0.0393	0.0030	0.0074	0.6395	0.3108
AAM4297	0.0102	0.0048	0.0234	0.0020	0.9596
AAM4319	0.0040	0.0036	0.9731	0.0055	0.0138
AAM4230	0.0098	0.0070	0.0311	0.9384	0.0137
