AAM0930	0.0020	0.0020	0.9910	0.0020	0.0020	0.0010
AAM0399	0.0020	0.0020	0.0040	0.0021	0.9879	0.0020
AAM0403	0.0030	0.0023	0.0040	0.0030	0.9854	0.0023
AAM0935	0.0030	0.0020	0.0020	0.9815	0.0020	0.0095
AAM0323	0.0040	0.9713	0.0116	0.0071	0.0040	0.0020
AAM0910	0.0020	0.0015	0.0020	0.0020	0.0020	0.9905
AAM0943	0.0078	0.0099	0.0032	0.9726	0.0035	0.0030
AAM0956	0.9875	0.0020	0.0020	0.0042	0.0020	0.0023
AAM0357	0.0033	0.0023	0.0020	0.0053	0.0022	0.9849
AAM0949	0.0061	0.0110	0.0030	0.9439	0.0078	0.0282
AAM0926	0.0020	0.0010	0.0010	0.0020	0.0015	0.9925
AAM0940	0.0091	0.0037	0.0020	0.9529	0.0153	0.0170
AAM0950	0.1086	0.0115	0.0436	0.7814	0.0216	0.0333
AAM0944	0.0057	0.0020	0.0031	0.9807	0.0020	0.0065
AAM0942	0.0182	0.0035	0.0020	0.9713	0.0030	0.0020
AAM0954	0.0086	0.0020	0.0030	0.8925	0.0036	0.0903
AAM0366	0.0100	0.0107	0.0060	0.9646	0.0037	0.0050
AAM0334	0.0064	0.9766	0.0059	0.0060	0.0031	0.0020
AAM0932	0.0020	0.0020	0.9900	0.0020	0.0020	0.0020
AAM0331	0.0375	0.8994	0.0144	0.0151	0.0244	0.0092
AAM0362	0.0077	0.0032	0.0079	0.0932	0.0031	0.8849
AAM0951	0.0086	0.0122	0.0050	0.9653	0.0039	0.0050
AAM0918	0.0020	0.0010	0.0010	0.0020	0.0014	0.9926
AAM0961	0.0020	0.0020	0.9908	0.0020	0.0020	0.0012
AAM0941	0.0337	0.0048	0.0025	0.9369	0.0102	0.0119
AAM0313	0.0067	0.0113	0.0061	0.0256	0.0081	0.9422
AAM0915	0.0020	0.0010	0.0010	0.0019	0.0013	0.9928
AAM0402	0.0023	0.0024	0.0081	0.0029	0.9823	0.0020
AAM0952	0.0030	0.0030	0.0020	0.0877	0.0032	0.9011
AAM0308	0.0020	0.9868	0.0041	0.0020	0.0031	0.0020
AAM0356	0.0184	0.0030	0.0050	0.0776	0.0031	0.8929
AAM0948	0.8360	0.0040	0.0085	0.1401	0.0050	0.0064
AAM0936	0.0052	0.0040	0.0020	0.9803	0.0046	0.0039
AAM0919	0.0020	0.0010	0.0010	0.0020	0.0015	0.9925
AAM0914	0.0020	0.0020	0.0020	0.0020	0.0020	0.9900
AAM0964	0.0054	0.0030	0.0035	0.9680	0.0030	0.0171
AAM0947	0.0084	0.0020	0.0039	0.9780	0.0022	0.0055
AAM0358	0.0157	0.0031	0.0046	0.1691	0.0054	0.8021
AAM0958	0.9885	0.0020	0.0020	0.0035	0.0020	0.0020
AAM0953	0.0036	0.0020	0.0024	0.9838	0.0033	0.0049
AAM0923	0.0020	0.0010	0.0010	0.0020	0.0020	0.9920
AAM0920	0.0020	0.0010	0.0010	0.0020	0.0020	0.9920
AAM0931	0.0020	0.0020	0.9900	0.0020	0.0020	0.0020
AAM0911	0.0020	0.0010	0.0013	0.0020	0.0010	0.9927
AAM0965	0.0294	0.0048	0.0039	0.9445	0.0038	0.0136
AAM0945	0.2668	0.0040	0.0048	0.6174	0.0074	0.0996
AAM0933	0.0025	0.0020	0.9895	0.0020	0.0020	0.0020
AAM0962	0.0016	0.0020	0.9924	0.0010	0.0020	0.0010
AAM0132	0.0099	0.9642	0.0079	0.0049	0.0050	0.0081
AAM0260	0.0016	0.0010	0.0010	0.0020	0.0017	0.9927
AAM0329	0.0030	0.9836	0.0039	0.0035	0.0040	0.0020
AAM0322	0.0036	0.9367	0.0465	0.0053	0.0049	0.0030
AAM0310	0.0030	0.9858	0.0022	0.0030	0.0030	0.0030
AAM0409	0.0030	0.0070	0.0030	0.0030	0.9810	0.0030
AAM0957	0.9800	0.0020	0.0020	0.0079	0.0020	0.0061
AAM0353	0.0030	0.9738	0.0029	0.0076	0.0040	0.0087
AAM0934	0.0020	0.0019	0.9915	0.0016	0.0020	0.0010
AAM0390	0.0020	0.0022	0.9868	0.0030	0.0040	0.0020
AAM0927	0.0020	0.0015	0.0020	0.0020	0.0020	0.9905
AAM0335	0.0029	0.9790	0.0046	0.0075	0.0030	0.0030
AAM0912	0.0020	0.0010	0.0010	0.0020	0.0014	0.9926
AAM0963	0.0017	0.0020	0.9922	0.0011	0.0020	0.0010
AAM0325	0.1585	0.1767	0.0261	0.6213	0.0123	0.0050
AAM0959	0.0065	0.0094	0.0020	0.9741	0.0050	0.0030
AAM0343	0.0048	0.9783	0.0020	0.0050	0.0030	0.0069
AAM0913	0.0020	0.0011	0.0011	0.0020	0.0012	0.9926
AAM0939	0.0144	0.0041	0.0020	0.9719	0.0030	0.0046
AAM0332	0.0030	0.9846	0.0030	0.0030	0.0025	0.0039
AAM0326	0.0205	0.4867	0.0206	0.0113	0.2696	0.1914
AAM0960	0.0010	0.0016	0.9932	0.0012	0.0020	0.0010
AAM0349	0.0036	0.9841	0.0020	0.0050	0.0026	0.0027
AAM0937	0.0240	0.0035	0.0020	0.9655	0.0030	0.0020
AAM0351	0.0020	0.9900	0.0020	0.0020	0.0020	0.0020
AAM0946	0.0749	0.0104	0.0131	0.8837	0.0139	0.0040
AAM0924	0.0024	0.0010	0.0010	0.0020	0.0020	0.9916
AAM0966	0.9880	0.0020	0.0020	0.0040	0.0020	0.0020
AAM0309	0.0021	0.9891	0.0020	0.0020	0.0020	0.0028
AAM0317	0.0030	0.9797	0.0040	0.0052	0.0051	0.0030
AAM0916	0.0020	0.0010	0.0010	0.0020	0.0014	0.9926
