"","AAMID","S1_NW","S2_PE","S3.x","S4_SE_BT","S5_WC_SW","S6_BU","S7_EC","Loc_Abbrev_LF.x","Longitude.x","Latitude.x","S1","S2","S3.y","S4","S5","Loc_Abbrev_LF.y","Longitude.y","Latitude.y"
"1","AAM2001",1,0,0,0,0.043,0,0,"WC",120.13,0.15,0.001,0.0053,0.9463,0.001,0.0464,"WC",120.13,0.15
"2","AAM2002",1,0,0,0,0.018,0,0.009,"WC",120.13,0.15,0.0051,0.0087,0.9106,0.0012,0.0744,"WC",120.13,0.15
"3","AAM2003",0,0,0,0.028,0.971,0,0.001,"WC",120.065,-0.054,0.0051,0.0782,0.3275,0.005,0.5842,"WC",120.065,-0.054
"4","AAM2004",1,0,0,0,0,0,0,"NW",120.88,0.91,0.0018,0.0097,0.9539,0.001,0.0336,"NW",120.88,0.91
"5","AAM2005",0.016,0,0.007,0.002,0.567,0,0.408,"WC",120.47,0.78,0.0029,0.0354,0.5156,0.1417,0.3044,"WC",120.47,0.78
"6","AAM2006",0,0,0,0,0.969,0,0.031,"WC",119.81,-0.21,0.0051,0.006,0.1427,0.001,0.8452,"WC",119.81,-0.21
"7","AAM2007",0,0,0,0,1,0,0,"WC",120.13,0.15,0.0011,0.0021,0.1094,0.001,0.8864,"WC",120.13,0.15
"8","AAM2008",0,0,0,0.003,0.996,0,0,"WC",120.13,0.15,0.0037,0.0176,0.1532,0.0034,0.8221,"WC",120.13,0.15
"9","AAM2009",0.001,0,0,0,0.999,0,0,"WC",120.13,0.15,0.0015,0.0022,0.3521,0.001,0.6432,"WC",120.13,0.15
"10","AAM2010",0,0,0,0,0.994,0,0.005,"WC",120.13,0.15,0.0031,0.0054,0.426,0.0018,0.5637,"WC",120.13,0.15
"11","AAM2011",0,0,0,0.001,0.931,0,0,"WC",120.13,0.15,0.001,0.0057,0.7148,0.001,0.2775,"WC",120.13,0.15
"12","AAM2012",0,0,0,0,0.988,0,0.012,"WC",120.13,0.15,0.016,0.0022,0.2542,0.0043,0.7233,"WC",120.13,0.15
"13","AAM2013",0.208,0,0,0,0.789,0,0.003,"WC",119.6556,-0.023,0.0024,0.0025,0.6344,0.0019,0.3588,"WC",119.6556,-0.023
"14","AAM2014",0,0,0,0,0.995,0,0.002,"WC",119.6556,-0.023,0.0047,0.0012,0.6015,0.002,0.3906,"WC",119.6556,-0.023
"15","AAM2015",0,0,0,0,0.999,0,0,"WC",119.6556,-0.023,0.0047,0.005,0.373,0.001,0.6163,"WC",119.6556,-0.023
"16","AAM2016",1,0,0,0,0,0,0,"NW",121.25,1.25,0.0036,0.001,0.965,0.0014,0.029,"NW",121.25,1.25
"17","AAM2017",0.997,0,0,0,0.003,0,0,"NW",121.25,1.25,0.0016,0.0019,0.9435,0.0016,0.0514,"NW",121.25,1.25
"18","AAM2018",1,0,0,0,0,0,0,"NW",121.27,1.23,0.0036,0.002,0.9646,0.001,0.0288,"NW",121.27,1.23
"19","AAM2019",1,0,0,0,0,0,0,"NW",121.27,1.23,0.0028,0.0024,0.9763,0.001,0.0175,"NW",121.27,1.23
"20","AAM2020",1,0,0,0,0,0,0,"NW",121.27,1.23,0.0013,0.002,0.9709,0.001,0.0248,"NW",121.27,1.23
"21","AAM2021",1,0,0,0,0,0,0,"NW",121.25,1.25,0.0013,0.0025,0.9784,0.001,0.0168,"NW",121.25,1.25
"22","AAM2022",1,0,0.011,0,0,0,0,"NW",121.25,1.25,0.0051,0.0031,0.9595,0.008,0.0243,"NW",121.25,1.25
"23","AAM2023",1,0,0,0,0,0,0,"NW",121.25,1.25,0.0034,0.0022,0.9244,0.0011,0.0689,"NW",121.25,1.25
"24","AAM2024",1,0,0,0,0,0,0,"NW",121.46,1.04,0.0019,0.002,0.9661,0.001,0.029,"NW",121.46,1.04
"25","AAM2025",1,0,0,0,0,0,0,"NW",121.33,1.02,0.0023,0.002,0.9734,0.0016,0.0207,"NW",121.33,1.02
"26","AAM2026",1,0,0,0,0,0,0,"NW",121.33,1.02,0.002,0.0048,0.9685,0.001,0.0237,"NW",121.33,1.02
"27","AAM2027",1,0,0,0,0,0,0,"NW",121.33,1.02,0.001,0.0018,0.9818,0.001,0.0144,"NW",121.33,1.02
"28","AAM2028",1,0,0,0,0,0,0,"NW",121.33,1.02,0.0013,0.0018,0.9832,0.001,0.0127,"NW",121.33,1.02
"29","AAM2029",0.993,0,0,0.003,0.002,0,0.003,"NW",121.33,1.02,0.002,0.0078,0.9417,0.0015,0.047,"NW",121.33,1.02
"30","AAM2030",0.996,0,0,0,0,0,0.003,"NE",124.16,0.94,0.026,0.0138,0.8511,0.043,0.0661,"NE",124.16,0.94
"31","AAM2031",0.1,0,0,0.9,0,0,0,"NC",123.08,0.9,0.0289,0.6974,0.231,0.0073,0.0354,"NC",123.08,0.9
"32","AAM2032",0,0,0,0,1,0,0,"NC",123.48,0.85,0.0266,0.0497,0.0973,0.0031,0.8233,"NC",123.48,0.85
"33","AAM2033",1,0,0,0.01,0.001,0,0.029,"NW",122.73,0.85,0.0091,0.0627,0.8352,0.002,0.091,"NW",122.73,0.85
"34","AAM2034",0,0,0,1,0,0,0,"SE",121.59,-4.03,0.0088,0.9785,0.0047,0.0029,0.0051,"SE",121.59,-4.03
"35","AAM2035",0,0,0,1,0,0,0,"SE",121.73,-3.97,0.0079,0.9725,0.0126,0.003,0.004,"SE",121.73,-3.97
"36","AAM2036",0.189,0,0,0.791,0.01,0,0.009,"SE",122.64,-4.14,0.0222,0.8234,0.1174,0.0145,0.0225,"SE",122.64,-4.14
"37","AAM2037",0,0,0,1,0,0,0,"SE",122.68,-4.3,0.0144,0.9309,0.0302,0.0084,0.0161,"SE",122.68,-4.3
"38","AAM2038",0,0,0,0.999,0,0,0,"SE",122.25,-3.97,0.0158,0.9465,0.008,0.005,0.0247,"SE",122.25,-3.97
"39","AAM2039",0,0,0,1,0,0,0,"SE",122.07,-3.48,0.0103,0.9661,0.0095,0.0063,0.0078,"SE",122.07,-3.48
"40","AAM2040",0,0,0,1,0,0,0,"SE",122.05,-4.77,0.009,0.9784,0.0047,0.0029,0.005,"SE",122.05,-4.77
"41","AAM2041",0,0,0,1,0,0,0,"SE",122.48,-4.3,0.0095,0.9561,0.0176,0.0057,0.0111,"SE",122.48,-4.3
"42","AAM2042",0,0,0,0.999,0.001,0,0,"SE",122.42,-3.98,0.0298,0.9361,0.0124,0.0032,0.0185,"SE",122.42,-3.98
"43","AAM2043",0,0,0,1,0,0,0,"SE",122.07,-3.48,0.0091,0.9737,0.0062,0.0038,0.0072,"SE",122.07,-3.48
"44","AAM2044",0,0,0,0.959,0,0,0.041,"SE",122.25,-3.96,0.0665,0.9129,0.0047,0.0038,0.0121,"SE",122.25,-3.96
"45","AAM2045",0,0,0,1,0,0,0,"SE",122.25,-4.1,0.0053,0.982,0.0033,0.003,0.0064,"SE",122.25,-4.1
"46","AAM2046",0,0,0,1,0,0,0,"SE",122.046,-4.858,0.008,0.9708,0.0084,0.0045,0.0083,"SE",122.046,-4.858
"47","AAM2047",0,0,0,1,0,0,0,"SE",122.07,-3.48,0.007,0.9473,0.034,0.0037,0.008,"SE",122.07,-3.48
"48","AAM2048",0,0,0,0.991,0,0,0.009,"SE",122.65,-4.14,0.0163,0.9589,0.0085,0.0046,0.0117,"SE",122.65,-4.14
"49","AAM2049",0,0,0,1,0,0,0,"SE",122.07,-3.48,0.0177,0.9692,0.0048,0.0036,0.0047,"SE",122.07,-3.48
"50","AAM2050",0,0,0,1,0,0,0,"SE",122.46,-4.04,0.006,0.9811,0.0035,0.003,0.0064,"SE",122.46,-4.04
"51","AAM2051",0,0,0,1,0,0,0,"SE",122.505,-3.86,0.0083,0.9565,0.0123,0.0119,0.011,"SE",122.505,-3.86
"52","AAM2052",0,0,0,1,0,0,0,"SE",122.13,-4.18,0.0085,0.9585,0.0167,0.0056,0.0107,"SE",122.13,-4.18
"53","AAM2053",0.002,0,0.003,0,0.161,0,0.834,"SE",122.03,-4.78,0.0276,0.6276,0.0789,0.1681,0.0978,"SE",122.03,-4.78
"54","AAM2054",0,0,0,1,0,0,0,"SE",122.42,-3.98,0.0081,0.9719,0.0055,0.003,0.0115,"SE",122.42,-3.98
"55","AAM2055",0,0,0,0.879,0.023,0,0.098,"SE",122.42,-3.98,0.0414,0.847,0.0208,0.0095,0.0813,"SE",122.42,-3.98
"56","AAM2056",0,0,0,0.993,0,0,0.007,"SE",122.07,-3.48,0.2106,0.7651,0.0078,0.0057,0.0108,"SE",122.07,-3.48
"57","AAM2057",0,0,0,1,0,0,0,"SE",122.34,-4.08,0.005,0.9812,0.003,0.0059,0.0049,"SE",122.34,-4.08
"58","AAM2058",0,0,0,1,0,0,0,"SE",122.37,-3.9,0.0384,0.9383,0.0073,0.0049,0.0111,"SE",122.37,-3.9
"59","AAM2059",0.002,0,0,0.068,0.016,0,0.913,"SE",122.03,-4.78,0.0093,0.811,0.0208,0.1322,0.0268,"SE",122.03,-4.78
"60","AAM2060",0,0,0,1,0,0,0,"SE",122.37,-3.9,0.028,0.9423,0.0127,0.0094,0.0076,"SE",122.37,-3.9
"61","AAM2061",0,0,0,1,0,0,0,"SE",122.65,-4.14,0.007,0.9803,0.0033,0.0035,0.0059,"SE",122.65,-4.14
"62","AAM2062",0,0,0,0.999,0,0,0,"SE",122.42,-3.98,0.0125,0.9569,0.0081,0.0037,0.0188,"SE",122.42,-3.98
"63","AAM2063",0,0,0,0.996,0.001,0,0.003,"BT",122.92,-4.6,0.0033,0.9538,0.0095,0.0092,0.0242,"BT",122.92,-4.6
"64","AAM2064",0,0,0,1,0,0,0,"BT",122.44,-4.796,0.0047,0.9772,0.0043,0.0024,0.0114,"BT",122.44,-4.796
"65","AAM2065",0,0,0,1,0,0,0,"BT",122.44,-4.796,0.0041,0.9819,0.0022,0.0048,0.007,"BT",122.44,-4.796
"66","AAM2066",0,0,0,0.997,0,0,0.003,"BT",122.6,-4.98,0.0138,0.9711,0.0022,0.0035,0.0094,"BT",122.6,-4.98
"67","AAM2067",0,0,0,1,0,0,0,"BT",122.6,-4.98,0.0092,0.9632,0.0035,0.0032,0.0209,"BT",122.6,-4.98
"68","AAM2068",0,0,0,1,0,0,0,"BT",122.88,-4.59,0.0063,0.9825,0.0021,0.0032,0.0059,"BT",122.88,-4.59
"69","AAM2070",0,0,0,0,0.669,0,0.331,"BT",122.82,-5.05,0.0198,0.1628,0.0033,0.0059,0.8082,"BT",122.82,-5.05
"70","AAM2072",0.005,0,0,0.072,0.138,0,0.785,"BT",123.03,-5.2,0.0617,0.6767,0.0153,0.0218,0.2245,"BT",123.03,-5.2
"71","AAM2073",0,0,0,0.968,0.002,0,0.03,"BT",122.82,-5.48,0.0106,0.9416,0.0054,0.0117,0.0307,"BT",122.82,-5.48
"72","AAM2074",0,0,0,0.996,0.003,0,0.001,"BT",122.52,-5.15,0.0049,0.9443,0.0034,0.0053,0.0421,"BT",122.52,-5.15
"73","AAM2078",0,0,0,0.997,0,0,0.003,"SE",122.14,-3.51,0.0201,0.9615,0.0047,0.0031,0.0106,"SE",122.14,-3.51
"74","AAM2079",1,0,0,0,0,0,0,"NW",120.88,0.91,0.0016,0.0029,0.9684,0.0037,0.0234,"NW",120.88,0.91
"75","AAM2083",1,0,0,0,0,0,0,"NW",121.73,1.07,0.001,0.001,0.9798,0.001,0.0172,"NW",121.73,1.07
"76","AAM2084",1,0,0,0,0,0,0,"NW",121.73,1.07,0.001,0.0015,0.9855,0.001,0.011,"NW",121.73,1.07
"77","AAM2085",1,0,0,0,0,0,0,"NW",121.71,1.07,0.001,0.001,0.9797,0.001,0.0173,"NW",121.71,1.07
"78","AAM2086",1,0,0,0,0,0,0,"NW",121.72,1.07,0.0016,0.0025,0.9693,0.002,0.0246,"NW",121.72,1.07
"79","AAM2087",1,0,0,0,0,0,0,"WC",119.88,-0.05,0.0022,0.0043,0.9634,0.0043,0.0258,"WC",119.88,-0.05
"80","AAM2088",0.001,0,0,0.003,0.977,0,0.019,"WC",119.88,-0.05,0.0042,0.0164,0.3508,0.0014,0.6272,"WC",119.88,-0.05
"81","AAM2089",0,0,0,0,0.867,0,0.133,"WC",119.88,-0.05,0.0057,0.0059,0.2201,0.0011,0.7672,"WC",119.88,-0.05
"82","AAM2092",0,0,0,0,1,0,0,"WC",119.87,-0.73,0.0244,0.0069,0.012,0.0011,0.9556,"WC",119.87,-0.73
"83","AAM2093",0,0,0,0,1,0,0,"WC",119.81,-0.21,0.0028,0.003,0.1076,0.0018,0.8848,"WC",119.81,-0.21
"84","AAM2094",0,0,0,0,1,0,0,"WC",119.81,-0.21,0.0042,0.0053,0.3155,0.0012,0.6738,"WC",119.81,-0.21
"85","AAM2096",0,0,0,0,0.846,0,0.154,"WC",119.92,-0.93,0.2698,0.0043,0.0216,0.0023,0.702,"WC",119.92,-0.93
"86","AAM2097",0.143,0,0,0,0.808,0,0.049,"WC",119.92,-0.93,0.0483,0.0055,0.0746,0.0048,0.8668,"WC",119.92,-0.93
"87","AAM2099",0,0,0,0,0.095,0,0.905,"WC",120.34,-1.35,0.5213,0.0079,0.0149,0.0033,0.4526,"WC",120.34,-1.35
"88","AAM2102",0,0,0,0,0.996,0,0.004,"WC",120.07,-1.3,0.1419,0.0069,0.0084,0.002,0.8408,"WC",120.07,-1.3
"89","AAM2103",0,1,0,0,0,0,0,"PE",123.23,-1.24,0.0031,0.0059,0.0048,0.9811,0.0051,"PE",123.23,-1.24
"90","AAM2104",0,1,0,0,0,0,0,"PE",123.23,-1.24,0.0018,0.0021,0.0018,0.9924,0.0019,"PE",123.23,-1.24
"91","AAM2105",0,1,0,0,0,0,0,"PE",123.23,-1.24,8e-04,0.0017,0.0017,0.9941,0.0017,"PE",123.23,-1.24
"92","AAM2106",0,0,0,0,0,0,1,"TO",121.76,-0.46,0.9277,0.0157,0.0301,0.0075,0.019,"TO",121.76,-0.46
"93","AAM2110",0,0,0,0,0.747,0,0.253,"WC",120.05,-1.6,0.1268,0.0069,0.0142,0.0021,0.85,"WC",120.05,-1.6
"94","AAM2111",0.094,0,0,0,0.879,0,0.028,"WC",120.09,-1.74,0.0424,0.0052,0.0837,0.0057,0.863,"WC",120.09,-1.74
"95","AAM2120",0,1,0,0,0,0,0,"PE",123.33,-1.42,0.0011,0.0024,0.0036,0.9911,0.0018,"PE",123.33,-1.42
"96","AAM2121",0,1,0,0,0,0,0,"PE",123.33,-1.42,0.0018,0.0045,0.0019,0.9894,0.0024,"PE",123.33,-1.42
"97","AAM2122",0,1,0,0,0,0,0,"PE",123.33,-1.42,8e-04,0.0017,0.0018,0.9938,0.0019,"PE",123.33,-1.42
"98","AAM2123",0,1,0,0,0,0,0,"PE",123.33,-1.42,0.0017,0.0021,0.0014,0.993,0.0018,"PE",123.33,-1.42
"99","AAM2126",0,0,0,0,0,0,0.999,"EC",121.82,-1.02,0.9437,0.019,0.0165,0.0037,0.0171,"EC",121.82,-1.02
"100","AAM2128",0,0,0,0.233,0.065,0,0.702,"EC",121.94,-1.64,0.8994,0.0386,0.0203,0.004,0.0377,"EC",121.94,-1.64
"101","AAM2130",0.002,0,0,0,0,0,0.998,"EC",121.94,-1.64,0.884,0.006,0.0794,0.0072,0.0234,"EC",121.94,-1.64
"102","AAM2131",0,0,0,0,0.006,0,0.994,"EC",121.94,-1.64,0.8518,0.014,0.0176,0.0038,0.1128,"EC",121.94,-1.64
"103","AAM2132",0,0,0,0.002,0.002,0,0.997,"EC",121.94,-1.64,0.8831,0.0625,0.0145,0.0028,0.0371,"EC",121.94,-1.64
"104","AAM2133",0,0,0.005,0.002,0.249,0,0.398,"EC",121.94,-1.64,0.7322,0.0255,0.1108,0.0327,0.0989,"EC",121.94,-1.64
